"Name_clean","Name","Count","source","lat","lon","matched_name","in_sweden","county"
"Sydgas","Sydgas",1,"https://www.wikidata.org//wiki/Q42429068","55.5201666666667","12.8990555555556","Sydgas upper light",1,NA
"sydkusten","sydkusten",1,"https://www.wikidata.org//wiki/Q61779653","55.4096961111111","13.786675","Eastern south coast coastal water",1,NA
"Sydkustens marinbas","Sydkustens marinbas",1,"https://www.wikidata.org//wiki/Q10686731","56.1563888888889","15.5856944444444","No label defined",1,"Blekinge"
"Sydkustens örlogsbas","Sydkustens örlogsbas",1,"https://www.wikidata.org//wiki/Q10686731","56.1563888888889","15.5856944444444","No label defined",1,"Blekinge"
"sydost","sydostregionen",3,"https://www.wikidata.org//wiki/Q26239908","62.4183333333333","17.2675","Sydöst Hulistugan Karlstadvägen",1,"Västernorrland"
"Sydost","Sydost",1,"https://www.wikidata.org//wiki/Q26239908","62.4183333333333","17.2675","Sydöst Hulistugan Karlstadvägen",1,"Västernorrland"
"Sydöst","Sydöst",1,"https://www.wikidata.org//wiki/Q26239908","62.4183333333333","17.2675","Sydöst Hulistugan Karlstadvägen",1,"Västernorrland"
"Sydskandinavien","Sydskandinavien",1,"https://www.wikidata.org//wiki/Q4129687","56","13","2008 Skåne County earthquake",1,"Skåne"
"Sydvästlänken","Sydvästlänken",3,"geocode","55.83327","13.60198","HVDC SydVästlänken - Hurva Static Inverter Plant",1,"Skåne"
"Sylstationen","Sylstationen",2,"geonames_unique","63.05","12.3","Sylstationen",1,"Jämtland"
"Synagogan","Synagogan",1,"https://www.wikidata.org//wiki/Q619484","59.3318916666667","18.0742083333333","Stockholm Synagogue",1,"Stockholm"
"Syninge","Syninge",2,"geonames_unique","59.75","18.51667","Syninge",1,"Stockholm"
"Synnerbyn","Synnerbyn",1,"https://www.wikidata.org//wiki/Q10687497","58.3827805555556","13.2777805555556","Synnerby socken",1,"Västra Götaland"
"Sysslebäck","Sysslebäck",36,"geonames_unique","60.7244","12.87457","Sysslebäck",1,"Värmland"
"t Botvids gymnasium","t Botvids gymnasium.",1,"https://www.wikidata.org//wiki/Q10659372","59.2444388888889","17.8336111111111","No label defined",1,"Stockholm"
"t Botvids gymnasium","t Botvids gymnasium",1,"https://www.wikidata.org//wiki/Q10659372","59.2444388888889","17.8336111111111","No label defined",1,"Stockholm"
"t Eriks gymnasium","t Eriks gymnasium",2,"https://www.wikidata.org//wiki/Q10659377","59.335","18.0380555555556","S:t Eriks gymnasium",1,"Stockholm"
"t Eriks ögonsjukhus","t Eriks ögonsjukhus",1,"https://www.wikidata.org//wiki/Q10659379","59.3339611111111","18.03965","St. Erik Eye Hospital",1,"Stockholm"
"t Eriks Ögonsjukhus","t Eriks Ögonsjukhus",4,"https://www.wikidata.org//wiki/Q10659379","59.3339611111111","18.03965","St. Erik Eye Hospital",1,"Stockholm"
"t Eriks sjukhus","t Eriks sjukhus",11,"https://www.wikidata.org//wiki/Q130548969","59.3339611111111","18.03965","No label defined",1,"Stockholm"
"t Göran","t Göran.",1,"geocode","59.33463","18.0238","S:t Göran",1,"Stockholm"
"t Göran","t Göran",6,"geocode","59.33463","18.0238","S:t Göran",1,"Stockholm"
"t Görans","t Görans",1,"https://www.wikidata.org//wiki/Q10659387","59.3341305555556","18.0274694444444","S:t Görans church parish",1,"Stockholm"
"t Olof","t Olof",2,"geocode","55.63507","14.12267","S:t Olof",1,"Skåne"
"ta Clara kyrka","ta Clara kyrka",1,"https://www.wikidata.org//wiki/Q1540683","59.3311111111111","18.0616666666667","Klara Church",1,"Stockholm"
"Taavavuoma","Taavavuoma",23,"https://www.wikidata.org//wiki/Q35732567","68.5203388888889","20.8603611111111","Taavavuoma",1,"Norrbotten"
"Taberg","Taberg",1,"https://www.wikidata.org//wiki/Q2745396","57.6781519444444","14.0995038888889","Taberg",1,"Jönköping"
"Täby","Täby centrum",13,"https://www.wikidata.org//wiki/Q54337","59.4333333333333","18.0833333333333","Täby",1,"Stockholm"
"Täby","Täby.",2,"https://www.wikidata.org//wiki/Q54337","59.4333333333333","18.0833333333333","Täby",1,"Stockholm"
"Täby","Täby",645,"https://www.wikidata.org//wiki/Q54337","59.4333333333333","18.0833333333333","Täby",1,"Stockholm"
"Täby C","Täby C",1,"https://www.wikidata.org//wiki/Q10707905","59.445","18.0713888888889","Täby centrum",1,"Stockholm"
"Täby centrums","Täby centrums",1,"https://www.wikidata.org//wiki/Q15484805","59.4442411111111","18.0747811111111","Täby Centrum railway station",1,"Stockholm"
